"Internal - All"
"Address","Content","Status Code","Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keyword 1","Meta Keywords 1 Length","H1-1","H1-1 length","H1-2","H1-2 length","H2-1","H2-1 length","H2-2","H2-2 length","Meta Robots 1","Meta Refresh 1","Canonical Link Element 1","Size","Word Count","Text Ratio","Crawl Depth","Inlinks","Unique Inlinks","% of Total","Outlinks","Unique Outlinks","External Outlinks","Unique External Outlinks","Hash","Response Time","Last Modified","Redirect URI","Redirect Type","URL Encoded Address"
"http://octadesk.com/","text/html","301","Moved Permanently","","0","0","","0","0","","0","","0","","0","","0","","0","","","","178","0","0.0","0","30","27","19.15","0","0","0","0","","0.014","","https://octadesk.com/","HTTP Redirect","http://octadesk.com/"
"https://octadesk.com/","text/html; charset=utf-8","301","Moved Permanently","","0","0","","0","0","","0","","0","","0","","0","","0","","","","106","0","0.0","1","3","3","2.13","0","0","0","0","","0.047","","https://www.octadesk.com/","HTTP Redirect","https://octadesk.com/"
"https://www.octadesk.com/","text/html; charset=utf-8","200","OK","Help Desk e sistema de atendimento ao cliente Octadesk","54","455","Sistema de Help Desk e Atendimento ao cliente. Conheça nosso sistema de chamados na nuvem para prestar suporte ao cliente","121","747","Help Desk","9","O octadesk é um sistema de suporte e relacionamento que sua empresa precisa para atender os seus clientes","105","","0","O Octadesk é um sistema de suporte e relacionamento que sua empresa precisa para","80","O que é o Octadesk?","19","index, follow","","","30577","434","9.428656","2","393","119","84.4","2","2","5","5","56348f264976bfe583bbb7f439e7bdb3","0.035","","","","https://www.octadesk.com/"
"https://www.octadesk.com/styles.78c2a75c42085af09350.bundle.css","text/css; charset=UTF-8","200","OK","","0","0","","0","0","","0","","0","","0","","0","","0","","","","0","0","0.0","3","0","0","0.0","0","0","0","0","","0.03","Mon, 04 Dec 2017 21:05:05 GMT","","","https://www.octadesk.com/styles.78c2a75c42085af09350.bundle.css"
"https://www.octadesk.com/assets/images/midia-mentions/administradores.png","image/png","200","OK","","0","0","","0","0","","0","","0","","0","","0","","0","","","","1270","0","0.0","3","0","0","0.0","0","0","0","0","","0.031","Mon, 04 Dec 2017 21:05:05 GMT","","","https://www.octadesk.com/assets/images/midia-mentions/administradores.png"
"https://www.octadesk.com/assets/images/microsoft.png","image/png","200","OK","","0","0","","0","0","","0","","0","","0","","0","","0","","","","2980","0","0.0","3","0","0","0.0","0","0","0","0","","0.036","Mon, 04 Dec 2017 21:05:05 GMT","","","https://www.octadesk.com/assets/images/microsoft.png"
"https://www.octadesk.com/assets/images/customers/alexandre-de-cicco.png","image/png","200","OK","","0","0","","0","0","","0","","0","","0","","0","","0","","","","17144","0","0.0","3","0","0","0.0","0","0","0","0","","0.048","Mon, 04 Dec 2017 21:05:05 GMT","","","https://www.octadesk.com/assets/images/customers/alexandre-de-cicco.png"
"https://www.octadesk.com/assets/images/customers/rodrigo-von.png","image/png","200","OK","","0","0","","0","0","","0","","0","","0","","0","","0","","","","13727","0","0.0","3","0","0","0.0","0","0","0","0","","0.042","Mon, 04 Dec 2017 21:05:05 GMT","","","https://www.octadesk.com/assets/images/customers/rodrigo-von.png"
"https://www.octadesk.com/polyfills.b36aa62dbcfc58e274cf.bundle.js","application/javascript; charset=UTF-8","200","OK","","0","0","","0","0","","0","","0","","0","","0","","0","","","","0","0","0.0","3","0","0","0.0","0","0","0","0","","0.023","Mon, 04 Dec 2017 21:05:05 GMT","","","https://www.octadesk.com/polyfills.b36aa62dbcfc58e274cf.bundle.js"
"https://www.octadesk.com/assets/images/midia-mentions/PEGN.png","image/png","200","OK","","0","0","","0","0","","0","","0","","0","","0","","0","","","","3636","0","0.0","3","0","0","0.0","0","0","0","0","","0.01","Mon, 04 Dec 2017 21:05:05 GMT","","","https://www.octadesk.com/assets/images/midia-mentions/PEGN.png"
"https://www.octadesk.com/assets/images/midia-mentions/jornal_band.png","image/png","200","OK","","0","0","","0","0","","0","","0","","0","","0","","0","","","","2441","0","0.0","3","0","0","0.0","0","0","0","0","","0.01","Mon, 04 Dec 2017 21:05:05 GMT","","","https://www.octadesk.com/assets/images/midia-mentions/jornal_band.png"
